字段1,字段1链接,字段2,字段3,字段5,字段6,字段4
黄锦生同志任国家矿山安全监察局党组书记,https://www.cctd.com.cn/show-176-233180-1.html,2023-05-11,,黄锦生同志任国家矿山安全监察局党组书记,"来源：国家矿山安全监察局
					
					发布时间：2023-05-11 09:42:33
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",2023年5月10日下午，中央组织部有关负责同志出席国家矿山安全监察局领导干部会议，宣布中央决定：黄锦生同志任国家矿山安全监察局党组书记，免去黄玉治同志的国家矿山安全监察局党组书记职务。
王强任山西焦煤集团党委副书记、副董事长、总经理,https://www.cctd.com.cn/show-22-233179-1.html,2023-05-11,,王强任山西焦煤集团党委副书记、副董事长、总经理,"来源：山西焦煤集团
					
					发布时间：2023-05-11 09:37:35
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近日，山西焦煤集团官网更新企业高管信息，王强已任该集团党委副书记、副董事长、总经理。

 
　　王强介绍

　　王强，男，汉族，1970年3月出生，中共党员，博士研究生学历，正高级工程师。
　　王强曾长时间在潞安集团任职，历任漳村煤矿综采队副队长、队长、副矿长，潞安集团生产处处长，五阳煤矿矿长，常村煤矿矿长，潞安集团董事长助理、安监局局长、纪委副书记 ，天脊煤化工集团党委书记、董事长等职，2019年1月出任潞安集团副总经理，后改任潞安化工集团副总经理，2021年12月调任山西焦煤集团副总经理，2022年8月又赴任华阳集团任华阳集团党委副书记、副董事长、总经理，如今又再度“回归”山西焦煤集团。"
CCTD：5月中下旬煤炭市场运行展望,https://www.cctd.com.cn/show-42-233177-1.html,2023-05-11,,CCTD：5月中下旬煤炭市场运行展望,"来源：中国煤炭市场网
					
					发布时间：2023-05-11 09:34:07
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近期煤炭市场需求低迷，各品种价格均承压运行，其中炼焦煤价格下跌尤为明显。据CCTD监测：目前北港5500大卡动力煤价格在980元/吨左右，较月初下跌30元/吨，跌幅3.0%；延安（黄陵）气煤价格指数1221元/吨，较月初下跌132元/吨，跌幅9.8%。
　　短期来看，煤炭市场仍将明显“三高一低”，即高产量、高进口量、高库存、低需求的压制，市场疲弱局面难有改善。
　　从煤炭供给来看，或将回落，但是绝对量维持高位。
　　煤炭生产方面，从历年煤炭生产数据看，5月份均处于全年低位水平，这是因为经过前期高负荷生产后，煤矿一般选择在淡季进行例行检修，受今年以来的产能高基数影响，虽然5月份产量大概率会环比下降，但是同比仍确定性维持明显增长。
　　进口煤方面，海关数据显示，4月份煤炭进口量仍处于高位水平，共进口煤炭4067.6万吨，环比略降49.4万吨，降幅1.2%，同比增长72.7%；1-4月份，累计进口14247.6万吨，累计增长88.8%。展望5月份，煤炭进口量大概率环比明显减少，主要是因为4月以来，进口煤的价格优势持续收缩，目前5500大卡进口动力煤华东到岸投标价在1010元/吨左右，已高出内贸煤30元/吨。
　　从煤炭需求来看，仍将延续低迷态势。
　　一是经济复苏偏弱。4月份的制造业PMI指数较3月大幅回落2.8个百分点，年初以来首次降至收缩区间，明显不及市场预期，说明当前经济运行依旧承压。从房地产市场看，4月以来销售数据明显转弱，新开工及施工面积处于低位，而基建也有增速放缓的隐忧。因此，经济基本面对当前的煤炭市场并不能构成利好支撑。
　　二是各环节库存明显偏高。上游方面，截至4月底，全国煤炭企业库存6800万吨，比上月增加476万吨，增长7.5%；同比增加1168万吨，增长20.7%。中游方面，截至5月9日，环渤海主要港口煤炭库存升至2779万吨高位，同比增加725万吨，增长35.3%，其中，秦皇岛港库存在大秦线结束检修后快速增加，目前已经升至577万吨高位水平。下游方面，截至5月6日，重点样本终端动力煤库存接近1.1亿吨，较去年同期高出9.0%。
　　三是来水情况逐渐改善。天气预告显示，进入中旬以后，不少区域逐渐进入汛期，久旱的云南也将迎来一轮较大的降雨过程，在来水情况好转下，后期水电有望逐渐改善。
　　综合研判
　　5月中下旬煤炭市场供需面仍将明显宽松，价格运行将继续承压，但是在经济复苏、迎峰度夏以及高温干旱天气叠加下的补库需求未完全证伪前，卖方仍将保持一定的博弈挺价心态，因此价格大概率延续慢节奏的下跌走势，剧烈波动的可能性较小。（作者：弘墨）"
湖南省5家煤矿隐瞒下井人数被立案查处,https://www.cctd.com.cn/show-108-233176-1.html,2023-05-11,,湖南省5家煤矿隐瞒下井人数被立案查处,"来源：湖南省应急管理厅
					
					发布时间：2023-05-11 09:31:31
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","日前，湖南省耒阳市煤矿安全生产综合整治大检查大执法暨专题培训会议召开后，与会人员突击检查了前进、大岭、觉光寺、龙塘、龙家山等5个煤矿出入井人数情况，发现存在提供虚假信息、隐瞒下井人数的违法行为：
　　南阳矿业有限公司前进煤矿当班实际下井人数138人，其中69人未带识别卡下井作业。
　　大岭矿业有限公司大岭煤矿当班实际下井人数115人，其中43人未带识别卡下井作业。
　　兴源矿业有限公司觉光寺煤矿当班实际下井人数83人，其中19人未带识别卡下井作业。
　　白山坪矿业有限公司龙塘煤矿当班实际下井人数59人，其中7人未带识别卡下井作业。
　　红卫矿业有限公司龙家山煤矿实际下井人数78人，其中2人未带识别卡下井作业。
　　发现问题后，市委、市政府高度重视，坚持从严从快从重处理煤矿违法行为。由市应急管理局将以上5个煤矿提供虚假信息、隐瞒下井人数的违法行为移送至市综合行政执法局立案查处。
　　随后，市政府主要负责人第一时间组织召开全市煤矿安全生产讲评暨约谈会，深入查找问题深层次原因，举一反三，从根本上防范类似问题，坚决防范遏制事故发生。
　　目前，案件正在进一步查处中。"
4月份大秦铁路运量环比下降17.16% 同比下降8.82%,https://www.cctd.com.cn/show-39-233174-1.html,2023-05-11,,4月份大秦铁路运量环比下降17.16% 同比下降8.82%,"来源：大秦铁路
					
					发布时间：2023-05-11 09:30:01
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","大秦铁路5月9日晚间发布的公告显示，2023年4月，公司核心经营资产大秦线完成货物运输量3061万吨，同比下降8.82%，降幅较上月扩大3.88个百分点。环比来看，较2023年3月份减少634万吨，下降17.16%。
　　4月份日均运量102.03万吨，较3月份的119.19万吨减少17.16万吨，下降14.40%。日均开行重车67.6列，其中：日均开行2万吨列车52.0列。
　　2023年1-4月，大秦线累计完成货物运输量13513万吨，同比下降1.72%，增幅较前三月扩大1.13个百分点。"
288口岸日通关煤炭不超过8万吨？当地贸易商：入境车辆略有减少,https://www.cctd.com.cn/show-114-233173-1.html,2023-05-11,,288口岸日通关煤炭不超过8万吨？当地贸易商：入境车辆略有减少,"来源：财联社
					
					发布时间：2023-05-11 09:29:14
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近期由于焦煤价格持续回落，蒙煤进口价格出现倒挂。有甘其毛都口岸进口贸易商表示：“以蒙5煤为例，进口回来价格1300元/吨以上，现在最多卖1200元/吨，每吨亏损100元左右。”另有进口商表示：“不同煤种倒挂情况不同，我公司前期合同订过来的煤每吨现在倒挂30-50元。”
　　此外，针对“288口岸日通关不超8万吨”的传言，9日，甘其毛都口岸当地的多位贸易商表示：“8日通关车辆确实比前几天少了，大概少了100-200辆。”一位当地贸易商表示，8日入境车辆约600余辆。当地有关部门则回应：“不清楚相关事项。”
　　甘其毛都口岸又称288口岸，位于内蒙古自治区巴彦淖尔市，是重要的蒙古焦煤入境口岸，当地集装箱双挂车每车载货量约140吨，据此估算，8日通关煤炭量略高于8万吨。"
黑龙江省：截至4月底调度煤炭产量超过2118万吨,https://www.cctd.com.cn/show-176-233171-1.html,2023-05-11,,黑龙江省：截至4月底调度煤炭产量超过2118万吨,"来源：黑龙江日报
					
					发布时间：2023-05-11 09:25:16
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","一季度，黑龙江省调度煤炭产量1559万吨，创十年来同期最好水平。全省煤矿已连续17个月未发生亡人事故，连续66个月未发生重大及以上事故。截至4月底，黑龙江省调度煤炭产量超过2118万吨，在能源保供中发挥了重要作用。黑龙江省还将利用3年时间推进全省灾害严重煤矿、120万吨/年及以上大型煤矿和其他具备条件的煤矿实现智能化开采。
　　日前，记者走进部分煤矿企业，解锁他们取得如此佳绩的密码。
　　采煤设备智能化，保安全促增产
　　在中煤能源黑龙江煤化工有限公司依兰第三煤矿调度指挥中心，记者看到，通过远程监控系统，技术人员可以监控地下700米深采煤作业面的每一处细节，各项数据实时传到指挥中心，井下作业的矿工矿灯里都安装了定位芯片，指挥中心通过定位系统随时监控每名矿工在井下的具体位置。
　　矿党委副书记高晓岩说：“煤矿推进机械化、自动化、信息化、智能化建设以来，不仅提升了煤矿职工的‘安全指数’和‘幸福指数’，还进一步提高了产能，今年一季度圆满完成了生产计划。”
　　在宝清县双柳煤矿综采二区，技术员鲍宪紧盯智能化综采设备显示屏，远程监控着采煤机牵引速度、滚筒切高、采煤机位置等工况数据，采出的原煤随着传送带源源不断地从井下运出来。矿长王福清介绍，去年年末双柳煤矿引进智能化综采设备，建成智能化综采工作面，井下901自动化工作面经历了生产流程再造，可实现采煤机记忆截割、综采液压支架跟机移架、三机一键启动等功能，运行安全可靠效率高。双柳煤矿智能化改造后煤炭产量得到了大幅度提升，截至3月末，煤矿掘进进尺1931.3米，生产原煤25.6万吨，分别比去年同期增长36％、60％。
　　鹤岗兴安煤矿总工程师李建国说，推动智能化煤矿建设以来，矿井的“采、掘、机、运、通”主要生产系统、生产辅助系统以及经营管理系统的智能化程度进一步提高，减少了一线采掘作业人员以及固定场所人员，使煤矿生产更安全、更高效。
　　据了解，推进煤矿智能化建设，是黑龙江省各煤矿企业保安全、促增产的一项重要举措。
　　今年黑龙江省将重点推进2处煤矿通过国家级智能化示范建设煤矿验收；推进6处煤矿建设智能化矿井、3处煤矿实现智能化开采，以及13处煤矿累计建设21个智能化采掘工作面。
　　一线工人“技术化”，技术人员“高端化”
　　“功以才成，业由才兴。”
　　高度智能化的采煤设备从安装、调试到操作、检修都离不开技术人才。
　　在推进设备智能化的进程中，各煤矿企业积极开展“科技兴企”“人才强企”战略，营造有利于优秀人才吸纳引进、脱颖而出、健康成长的发展环境，积极打造一支复合型人才队伍。
　　在依兰第三煤矿，记者遇见刚刚升井的矿工汝要国，这位80后信心满满地说，他从事井下作业已经14年了，随着煤矿智能化、信息化的建设，在井下作业越来越安全，工作环境也变得更好；新设备投用后，他们一线工人要经常参加各种培训，了解新机器的性能和操作程序；业余时间，他阅读相关书籍，自学了许多煤矿生产方面的知识，目前他已成为工人中的技术“大拿”。
　　目前，依兰第三煤矿工作人员本科及以上学历的82人，高级工程师8人，工程师43人，专业技术人员40岁以下占40%。
　　今年30岁的鹤岗兴安煤矿技术员刘昊源是三年前参加工作的，负责煤矿的智能化改造工作，作为技术团队的佼佼者，他经常被派到智能化水平更高的矿区和大专院校学习新技术，回来后向同事们传授讲解，和同事们一起解决设备改造过程中遇到的难题。“矿上很重视对年轻技术人员的培养，我感到在这里成长得很快。”刘昊源由衷地说。
　　龙煤鹤岗矿业公司80后的技术人员王亮亮，参与辽宁工程技术大学专家团队合作研究的《复杂条件矿区耦合灾害协同防治技术体系研究》，经中国煤炭工业协会专家鉴定，达到国际领先水平。他参与制定的鹤矿公司《采煤工作面全过程灾害风险预控工作要点手册》，自推广以来，重大灾害风险得到有效预控，隐患发生数量明显下降。
　　宝清双柳煤矿总工段毅说，现代科技日新月异，机器设备不断更新，技术人员要持续地学习充电，才能紧跟上时代的步伐；现在矿里职工学习热情都很高，已呈现出一线工人“技术化”，以80后为主的技术人员“高端化”的趋势。
　　指导服务人性化，提效增速排隐患
　　安全和增产，一直是摆在黑龙江省各级煤管部门面前的两个重要课题。省煤管局工作人员说，这两个方面并不矛盾，是相辅相成的。
　　为保证生产安全，去年年底至今年初，省煤管局先后派出了十多个督查组，赴各地煤矿企业检查督查，对标国务院安委会15条、国家矿山安全监察局20条和省安委会46条安全生产措施，超前研判防范重大安全风险、严厉打击非法违法生产建设行为等活动。
　　在严厉执法，严格审批，强化问责的同时，煤管局还进一步加强了对各煤矿企业的服务指导工作，有序推进停产煤矿复工复产，推进建设煤矿早日投产，推进生产煤矿稳产达产增产。
　　鸡东县海宁煤矿二级标准化现场考核工作中，煤管局标准处的工作人员发现该煤矿在信息化标准方面存有不足，立即组织专家对相关人员进行一对一辅导，及时帮助其找到并解决问题。
　　鹤岗鸟山煤矿在办理设计变更和联合试运转备案手续、安全许可证时，省煤管局工作人员利用节假日休息时间，加班为其核准审批各个要件，在最短时间内办结，助力煤矿早建成早投产。
　　年初以来，在对龙煤集团双鸭山矿业公司东荣一矿、七台河矿业公司新建煤矿开展一级安全生产标准化管理体系现场初审考核工作中，煤管局及时组织专家进行现场指导，手把手教学，快速提升煤矿安全生产标准化建设水平。
　　煤管局相关处室还进一步简化申报流程，从60个工作日压减到18个工作日，对于备案项目即报即备。
　　目前，黑龙江全省已建立181处煤矿项目建设清单台账，按照项目审批、开工备案、专项验收、竣工验收等环节，省煤管局提前介入、跟踪指导、上门服务，已推进13处煤矿联合试运转生产或竣工投产，释放煤炭优质产能375万吨/年，为全省煤炭行业高质量发展注入活力，增添动力。"
统计局：4月下旬焦煤价格继续大幅走低 低卡动力煤反弹上涨,https://www.cctd.com.cn/show-361-233169-1.html,2023-05-11,,统计局：4月下旬焦煤价格继续大幅走低 低卡动力煤反弹上涨,"来源：国家统计局
					
					发布时间：2023-05-11 09:22:33
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","国家统计局日前公布的数据显示，4月下旬全国煤炭价格整体以跌为主，且部分煤种跌幅较中旬进一步扩大；但低卡动力煤价格却出现了小幅反弹上涨。各煤种具体价格变化情况如下： 
　　无烟煤（洗中块，挥发份≤8%）价格1380.0元/吨，较上期下跌46.4元/吨，跌幅3.3%。 
　　普通混煤（山西粉煤与块煤的混合煤，热值4500大卡）价格773.8元/吨，较上期上涨5.2元/吨，涨幅0.7%。 
　　山西大混（质量较好的混煤，热值5000大卡）价格为888.8元/吨，较上期上涨11.7元/吨，涨幅1.3%。 
　　山西优混（优质的混煤，热值5500大卡）价格为1001.3元/吨，较上期下跌14.4元/吨，跌幅1.4%。 
　　大同混煤（大同产混煤，热值5800大卡）价格为1055.6元/吨，较上期下跌15.3元/吨，跌幅1.4%。 
　　焦煤（主焦煤，含硫量<1%）价格为1860.7元/吨，较上期下跌189.3元/吨，跌幅9.2%。 
　　从上述数据可以看出，4月下旬，除低卡动力煤略有上涨外，其他煤种价格维持跌势，不过除焦煤外，跌势均有所趋缓。 
　　此外，4月下旬全国焦炭（准一级冶金焦）价格2270.0元/吨，较上期下跌164.3元/吨，跌幅6.7%。"
全国碳市场每日成交数据20230510,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=713&id=233200,2023-05-10,,全国碳市场每日成交数据20230510,"来源：上海环境能源交易所
					
					发布时间：2023-05-10 16:21:00
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","今日全国碳市场碳排放配额（CEA）挂牌协议交易成交量100吨，成交额5,600.00元，开盘价56.00元/吨，最高价56.00元/吨，最低价56.00元/吨，收盘价56.00元/吨，收盘价与前一日持平。今日无大宗协议交易。今日全国碳排放配额（CEA）总成交量100吨，总成交额5,600.00元。
　　截至今日，全国碳市场碳排放配额（CEA）累计成交量234,408,247吨，累计成交额10,732,031,273.34元。"
运力供应相对宽松 沿海煤炭运价延续下行,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=576&id=233163,2023-05-10,,,,
4月第四周江苏省宿迁市煤炭价格小幅下降,https://www.cctd.com.cn/show-361-233161-1.html,2023-05-10,,4月第四周江苏省宿迁市煤炭价格小幅下降,"来源：宿迁市商务局
					
					发布时间：2023-05-10 10:09:29
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",据宿迁市商务局重要生产资料市场监测数据显示，2023年4月22日-4月28日，江苏省宿迁市煤炭均价为1325.25元/吨，环比下降1.7%。其中，无烟煤中的无烟煤2号，洗选块煤均价为1325.75元/吨，环比下降1.4%；烟煤中的动力煤发热量5000-5500大卡均价900元/吨，环比持平；炼焦煤1/3焦煤均价为1750元/吨，环比下降2.8%。随着温度回升和大宗商品期货价格下降，预计短期内宿迁市煤炭价格可能继续下降。
4月第四周云南省煤炭价格环比略跌,https://www.cctd.com.cn/show-361-233160-1.html,2023-05-10,,4月第四周云南省煤炭价格环比略跌,"来源：云南省商务厅
					
					发布时间：2023-05-10 10:07:42
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",据商务部重要生产资料市场监测系统显示，本周（2023年4月24日-30日）云南省煤炭均价为1366.9元/吨，环比下跌0.2%。其中，动力煤均价891.8元/吨，环比上涨0.6%；无烟煤均价1000元/吨，环比持平；炼焦煤均价2209元/吨，环比下跌0.5%。炼焦煤市场供应充足，价格下跌影响煤炭整体价格环比略跌。预计后期，煤炭市场供需平稳，价格或将平稳运行。
4月第四周陕西省煤炭均价微跌,https://www.cctd.com.cn/show-361-233158-1.html,2023-05-10,,4月第四周陕西省煤炭均价微跌,"来源：陕西省商务厅
					
					发布时间：2023-05-10 10:05:58
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",据商务部重要生产资料市场监测系统显示，4月22日至4月28日，陕西省煤炭均价1497.5元/吨，环比下跌1.2%。其中：无烟煤2050.0元/吨，环比持平；炼焦煤1467.5元/吨，环比下跌2.2%。4月底陕西煤炭产量持续释放、长协稳定供应和进口煤大力补充的背景下，实际需求对价格支撑力度有限，煤价上涨动能不足，下行压力或将加大。
商务部：上周全国煤炭价格继续回落,https://www.cctd.com.cn/show-361-233156-1.html,2023-05-10,,商务部：上周全国煤炭价格继续回落,"来源：商务部市场运行和消费促进司
					
					发布时间：2023-05-10 10:01:11
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","据商务部监测，上周（5月1日至7日）全国煤炭价格继续回落，其中炼焦煤、二号无烟块煤、动力煤每吨1324元、1427元和879元，分别下降0.8%、0.6%和0.3%。
　　钢材价格小幅下降，其中高速线材、普通中板、螺纹钢每吨4215元、4479元和4022元，分别下降0.8%、0.8%和0.7%。"
我国“双碳”标准体系建设提速,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=711&id=233155,2023-05-10,,我国“双碳”标准体系建设提速,"来源：中国能源报
					
					发布时间：2023-05-10 09:52:52
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","国家标准化管理委员会、国家发展和改革委员会等11部门近日联合发布的《碳达峰碳中和标准体系建设指南》（以下简称《建设指南》）指出，要加快构建碳达峰碳中和标准体系。到2025年，围绕基础通用标准，以及碳减排、碳清除、碳市场等发展需求，基本建成碳达峰碳中和标准体系。
　　这是继2022年10月市场监管总局等9部门联合发布《建立健全碳达峰碳中和标准计量体系实施方案》后，国家层面发布的有关推进“双碳”标准体系建设的又一重磅文件。
　　当前，在碳达峰碳中和目标背景下，以煤炭、石化、电力等为代表的相关行业正加速推进节能降碳以及低碳清洁能源布局。在业内人士看来，“双碳”标准体系的建设和完善，是支撑我国各行业加速能源转型、推动实现碳达峰碳中和目标的重要前提条件，意义重大。
　　2025年实现主要行业标准全覆盖
　　《建设指南》提出，到2025年，制修订不少于1000项国家标准和行业标准（包括外文版本），与国际标准一致性程度显著提高，主要行业碳核算核查实现标准全覆盖，重点行业和产品能耗能效标准指标稳步提升。该体系覆盖能源、工业、交通运输、城乡建设、水利、农业农村、居民生活等重点行业和领域碳达峰碳中和工作。
　　具体来看，在基础通用标准领域，主要涉及碳信息披露、碳监测核算核查等标准，推动解决碳排放数据“怎么算、算得准”的问题。在碳减排标准领域，主要涉及节能、化石能源清洁利用等标准，重点解决碳排放“怎么减”的问题。在碳清除标准领域，主要加快固碳和碳汇、碳捕集利用与封存等标准的研制；在市场化机制标准领域，则要加快制定绿色金融、碳排放交易和生态产品价值等标准。
　　“做好应对气候变化和‘双碳’工作需要坚实的数据基础，碳排放统计核算体系发挥着对‘双碳’工作提供数据支撑和基础保障的作用。同时，碳排放统计核算涉及社会生产生活各领域和很多行业、很多技术产品，门类非常多，核算方法也是多样的。在这种情况下，我国急需建立完善统一规范的统计核算体系。”生态环境部应对气候变化司司长李高此前在例行新闻发布会上表示。
　　全球气候变化智库阿德尔菲咨询公司高级经理陈志斌对《中国能源报》记者表示：“怎么计算排放的碳有多少、减的碳有多少，是一件非常需要统一标准的事情。除了基础的碳排放、碳减排标准体系外，《建设指南》也把很多工业的标准纳入碳达峰碳中和框架体系内，让大家有一个统一标准去衡量工作成效。以低碳为抓手，促进整个工业转型升级，是非常有意义的事情。”
　　让老标准适应“双碳”新形势
　　据记者了解，我国国家标准、行业标准、地方标准、团体标准、企业标准等各层级标准中均有一定数量的碳达峰碳中和相关标准。
　　中国标准化研究院发布的《碳达峰碳中和标准体系建设进展报告》显示，目前，我国在石油、天然气、煤炭、电力等传统能源领域的国家标准共计900余项。在现有国家标准中，覆盖计量、能耗限额、能源管理、节能技术评价等节能类国家标准390余项，现行强制性能耗限额与能效标准分别为112项和75项。碳排放领域涉及计量、监测、核算、管理和评估等系列标准，已发布温室气体管理相关16项国家标准，正在修订的标准30余项。
　　“实际上，行业内以前有很多老标准现在也都在沿用。但这些标准此前在制定的时候，可能更多地是从节能、环保角度出发的，并没有提升到碳达峰碳中和这个高度。‘双碳’目标提出后，就需要把现行的一些标准重新修订和完善，再增加一些新东西，使其与碳有更紧密的联系。要把这些标准都整合到碳达峰碳中和标准体系中，还有很多工作需要做。”一位不愿具名的某央企相关研究人员在接受《中国能源报》记者采访时表示。
　　中国标准化研究院院长、党委副书记宿忠民指出：“近年来，我国在节能、碳排放管理、非化石能源利用、化石能源清洁高效低碳利用等领域标准化工作取得了突出成效，并在特高压输变电、智能电网、风电、光伏等方面实现国际标准引领。但与碳达峰碳中和工作的迫切需求相比，‘双碳’标准体系的全面性、协调性、先进性都有待提升，标准与政策衔接、标准有效实施机制、标准国际化水平等还存在不足。”
　　应注重标准体系间的协调统一
　　在多位业内人士看来，碳达峰碳中和标准体系涉及的标准众多、覆盖领域广，在建设过程中，应尤其注重各标准之间的统一和协调。
　　中国石油和化学工业联合会产业发展部节能与低碳发展处专家翁慧在近日举办的石化产业发展大会能源与双碳分论坛上指出：“低碳标准体系推进工作，从生产流程、技术发展、生命周期、产业链条、金融市场等多个维度统筹规划，综合考虑产品、装置、企业、供应链的碳排放特点，也应注重与现有的节能与综合利用、绿色制造等标准体系的协调配套。”
　　“立项前，要调研清楚是否存在同类型标准，避免重复或内容相互冲突；有国际通则的，应严格按照通则要求，并统一采用国标通则相关附录数值；标准名称要充分考虑适用范围；及时关注国家标准或国际标准制定情况，体系、内容上下统一。”翁慧表示。
　　“《建设指南》明确细分了很多领域，但每个领域是否有一个牵头单位来负责整体把控，怎样对行业不同领域进行协调，又由哪个部门负责审核这些信息和标准，这些都是需要考虑的。因为涉及的标准非常多，需要保证标准之间是统一的，不打架、不矛盾，各标准之间的协调，需要整体把控。”上述不愿具名的某央企相关研究人员说。
　　“目前，可能有多个部门在同一行业都制定了自己的标准，这样就造成在使用时不知道选用哪个标准的问题。部门之间在制定标准时怎么去协调统一，怎么去更新、使用，接下来还需进一步明确。”陈志斌指出，“在标准的国际化方面，现在欧盟通过市场准入、产业政策等积极布局全球的标准制定。中国如何参与国际的标准规则制定，用什么样的途径、怎样去完成这件事情，目前看来挑战还是比较大的。”"
内蒙古印发《进一步加强全区露天煤矿安全管理若干措施通知》,https://www.cctd.com.cn/show-108-233154-1.html,2023-05-10,,内蒙古印发《进一步加强全区露天煤矿安全管理若干措施通知》,"来源：澎湃新闻
					
					发布时间：2023-05-10 09:50:02
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","内蒙古自治区人民政府近日印发《进一步加强全区露天煤矿安全管理若干措施通知》，进一步强化安全生产责任落实，建立安全生产长效机制，坚决防范、遏制露天煤矿生产安全事故发生。
　　 《通知》要求，建立地震、气象、自然资源部门与负有安全监管职责部门的联动工作机制，利用先进技术手段，加强露天煤矿安全风险预警预报，实现地震、极端灾害天气、地质灾害、卫星图像等监测信息共享互通。各级煤炭行业管理、煤矿安全监管、矿山安全监察等部门要严格落实分级监管要求，切实提升监管监察执法效能；加快推进露天煤矿重大灾害风险防控系统建设，实时监控生产状态和安全状态；始终保持打非治违高压态势，紧盯露天煤矿实际控制人和矿长、总工程师等“关键少数”，强化追责问责，涉嫌犯罪的案件移送司法机关追究刑事责任。露天煤矿企业法定代表人、实际控制人必须严格履行安全生产第一责任人责任，对本单位安全生产负总责。“五职矿长”要严格执行矿长带班制度，严禁挂名行为。露天煤矿要严格按照批准的设计施工，监测设备要齐全完好，安全生产制度健全并执行到位。
　　针对露天煤矿具体运营中的安全管理，《通知》要求，检测检验、设计、评价、地质勘探等中介机构要据实出具报告。对不据实或出具虚假报告的，列入“黑名单”管理，实行联合惩戒。国家矿山安全监察局内蒙古局会同自治区能源局，要动态调整露天煤矿分类评级，分类评级情况向社会公布。要加强对露天煤矿分类评级结果的科学应用，将C类露天煤矿列为重点监管监察对象。各级煤矿安全监管、矿山安全监察部门要加大对C类煤矿的检查频次。严格按照《煤矿生产能力管理办法》对C类煤矿开展产能核定工作。露天煤矿存在《煤矿重大事故隐患判定标准》明确的重大事故隐患情形之一的，依法依规责令停产整顿；存在《煤矿重大事故隐患判定标准》之外的一般隐患，责令立即消除或者限期消除隐患，拒不执行的，依法依规进行查处。露天煤矿要按照有关规定建立专用地震监测台网、边坡雷达在内的边坡监测预警系统、视频监控系统、车辆调度系统，实施24小时在线监测，并与矿山安全生产风险监测预警系统联网。露天煤矿必须加强对施工承包单位的安全管理。相关部门要将露天煤矿生产建设状态、停产停工原因、复产复工批复等情况及时向社会公开，接受社会监督。
　　《通知》提出，将对露天煤矿采取“四个一批”处置措施。关闭退出一批。对存在重大事故隐患、整改后仍无法达到安全条件的露天煤矿，依法依规予以关闭退出。整合重组一批。对资源划分不合理，井田面积小、无法实现正常采剥作业，或者相邻煤矿影响安全生产的露天煤矿，依法依规实施整合重组，推动小型露天煤矿向大型矿山转型，实现管控一体化、开采智能化、装备重型化、队伍专业化、管理精细化、生态资源化。改造提升一批。对现有储量大、现场管理好、技术人员配备强的露天煤矿，推动无人驾驶、边坡雷达监测等先进技术应用，通过智能化、信息化建设改造，进一步提升安全生产水平。规划新建一批。结合国家产业政策和煤炭供需形势，稳步推进煤炭产能接续，新建现代化大型露天煤矿。各地区要及时研究解决露天煤矿安全生产过程中存在的土地利用、矿权重叠等突出问题，积极协调解决相邻露天煤矿边帮压煤问题。"
